"ITIS_TSN","ScientificName_ITIS","WoRMS_AphiaID","ScientificName_WoRMS"
164758,"Merlangius merlangus",126438,"Merlangius merlangus"
164789,"Merlucciidae",125473,"Merlucciidae"
164795,"Merluccius merluccius",126484,"Merluccius merluccius"
644150,"Micrenophrys lilljeborgii",127201,"Micrenophrys lilljeborgii"
173026,"Microchirus variegatus",274304,"Microchirus variegatus "
173022,"Microchirus",126129,"Microchirus"
164774,"Micromesistius poutassou",126439,"Micromesistius poutassou"
172888,"Microstomus kitt",127140,"Microstomus kitt"
173414,"Mola mola",127405,"Mola mola"
164763,"Molva macropthalma",126460,"Molva macrophthalma"
623033,"Molva macrophthalma",126460,"Molva macrophthalma"
164760,"Molva molva",126461,"Molva molva"
164761,"Molva dypterygia",126459,"Molva dypterygia"
164687,"Mora moro",126497,"Mora moro"
170335,"Mugil cephalus",126983,"Mugil cephalus"
170333,"Mugilidae",125546,"Mugilidae"
169406,"Mullidae",125547,"Mullidae"
169416,"Mullus",126034,"Mullus"
169419,"Mullus barbatus",126985,"Mullus barbatus"
169418,"Mullus surmuletus",126986,"Mullus surmuletus"
160240,"Mustelus asterias",105821,"Mustelus asterias"
160242,"Mustelus mustelus",105822,"Mustelus mustelus"
160226,"Mustelus",105732,"Mustelus"
162575,"Myctophidae",125498,"Myctophidae"
162368,"Myctophiformes",10309,"Myctophiformes"
162723,"Myctophum punctatum",126627,"Myctophum punctatum"
162719,"Myctophum",125829,"Myctophum"
160983,"Myliobatis aquila",105860,"Myliobatis aquila"
167317,"Myoxocephalus scorpioides",127202,"Myoxocephalus scorpioides"
167311,"Myoxocephalus",126152,"Myoxocephalus"
167316,"Myoxocephalus quadricornis",127208,"Triglopsis quadricornis"
167318,"Myoxocephalus scorpius",127203,"Myoxocephalus scorpius"
159772,"Myxine glutinosa",101170,"Myxine glutinosa"
161624,"Nemichthys scolopaceus",126306,"Nemichthys scolopaceus"
172072,"Neogobius melanostomus",126916,"Neogobius melanostomus"
97317,"Nephrops norvegicus",107254,"Nephrops norvegicus"
166595,"Nerophis ophidion",127385,"Nerophis ophidion"
166593,"Nerophis lumbriciformis",127383,"Nerophis lumbriciformis"
165398,"Nezumia sclerorhynchus",126475,"Nezumia sclerorhynchus"
165394,"Nezumia aequalis",126473,"Nezumia aequalis"
161678,"Notacanthidae",125501,"Notacanthidae"
162471,"Notolepis rissoi",126352,"Arctozenus risso"
162661,"Notoscopelus kroeyeri",272728,"Notoscopelus kroyeri"
660857,"Nyctiphanes couchii",254316,"Nyctiphanes couchii"
82590,"Octopodidae",11782,"Octopodidae"
82603,"Octopus vulgaris",140605,"Octopus vulgaris"
82514,"Ommastrephidae",11760,"Ommastrephidae"
161989,"Oncorhynchus mykiss",127185,"Oncorhynchus mykiss"
655998,"Ophidiasteridae",123137,"Ophidiasteridae"
164846,"Ophidion barbatum",126675,"Ophidion barbatum"
180469,"Orcinus orca",137102,"Orcinus orca"
162039,"Osmerus eperlanus",126736,"Osmerus eperlanus"
79885,"Ostrea edulis",140658,"Ostrea edulis"
169213,"Pagellus acarne",127057,"Pagellus acarne"
169212,"Pagellus bogaraveo",127059,"Pagellus bogaraveo"
169211,"Pagellus",126079,"Pagellus"
169215,"Pagellus erythrinus",127060,"Pagellus erythrinus"
169207,"Pagrus pagrus",127063,"Pagrus pagrus"
96451,"Palaemon serratus",107616,"Palaemon serratus"
552966,"Palinurus mauritanicus",107704,"Palinurus mauritanicus"
552965,"Palinurus gilchristi",210074,"Palinurus gilchristi"
96966,"Pandalus",107044,"Pandalus"
636467,"Parablennius gattorugine",126770,"Parablennius gattorugine"
96161,"Pasiphaeidae",106790,"Pasiphaeidae"
79683,"Pecten maximus",140712,"Pecten maximus"
173051,"Pegusa lascaris",127156,"Pegusa lascaris"
168470,"Perca fluviatilis",151353,"Perca fluviatilis"
170315,"Percichthyidae",125549,"Percichthyidae"
167641,"Percoidei",151751,"Percoidei"
159721,"Petromyzon",101169,"Petromyzon"
159722,"Petromyzon marinus",101174,"Petromyzon marinus"
171645,"Pholis gunnellus",126996,"Pholis gunnellus"
172831,"Phrynorhombus norvegicus",127147,"Phrynorhombus norvegicus"
555704,"Phycinae",125475,"Phycidae "
164751,"Phycis blennoides",126501,"Phycis blennoides"
172894,"Platichthys flesus",127141,"Platichthys flesus"
172902,"Pleuronectes platessa",127143,"Pleuronectes platessa"
164727,"Pollachius virens",126441,"Pollachius virens"
164728,"Pollachius pollachius",126440,"Pollachius pollachius"
162191,"Polymetme corythaeola",127300,"Polymetme corythaeola"
167914,"Polyprion americanus",126998,"Polyprion americanus"
171983,"Pomatoschistus norvegicus",126929,"Pomatoschistus norvegicus"
637881,"Pomatoschistus lozanoi",126925,"Pomatoschistus lozanoi"
171980,"Pomatoschistus pictus",126930,"Pomatoschistus pictus"
171977,"Pomatoschistus",125999,"Pomatoschistus"
171978,"Pomatoschistus minutus",126928,"Pomatoschistus minutus"
171982,"Pomatoschistus microps",126927,"Pomatoschistus microps"
616195,"Psetta maxima",154473,"Psetta maxima"
170297,"Pterycombus brama",126785,"Pterycombus brama"
166387,"Pungitius pungitius",126507,"Pungitius pungitius"
83665,"Pycnogonum littorale",239867,"Pycnogonum litorale"
160846,"Raja",105766,"Raja"
160882,"Raja microocellata",105885,"Raja microocellata"
160885,"Raja batis",105869,"Dipturus batis"
160876,"Raja radiata",105865,"Amblyraja radiata"
160890,"Raja naevus",105876,"Leucoraja naevus"
160888,"Raja fullonica",105874,"Leucoraja fullonica"
160900,"Raja undulata",105891,"Raja undulata"
160880,"Raja brachyura",367297,"Raja brachyura"
160883,"Raja montagui",105887,"Raja montagui"
160901,"Raja clavata",105883,"Raja clavata"
564135,"Rajella fyllae",105894,"Rajella fyllae"
564125,"Rajella bathyphila",105892,"Rajella bathyphila"
160845,"Rajidae",105711,"Rajidae"
160806,"Rajiformes",10216,"Rajiformes"
164777,"Raniceps raninus",126442,"Raniceps raninus"
166356,"Regalecus glesne",126525,"Regalecus glesne"
164749,"Rhinonemus cimbrius",126450,"Enchelyopus cimbrius"
163617,"Ritulus ritulus",154333,"Rutilus rutilus"
82343,"Rossia macrosoma",141449,"Rossia macrosoma"
564123,"Rostroraja alba",105896,"Rostroraja alba"
163761,"Rutilus rutilus",154333,"Rutilus rutilus"
161994,"Salmo",126141,"Salmo"
161996,"Salmo salar",127186,"Salmo salar"
161997,"Salmo trutta",127187,"Salmo trutta"
650172,"Sander lucioperca",151308,"Sander lucioperca"
172409,"Sarda sarda",127021,"Sarda sarda"
161813,"Sardina pilchardus",126421,"Sardina pilchardus"
163613,"Scardinius erythrophthalmus",154165,"Scardinius erythrophthalmus"
642554,"Schedophilus medusophagus",126833,"Schedophilus medusophagus"
172412,"Scomber japonicus",127022,"Scomber japonicus"
172414,"Scomber scombrus",127023,"Scomber scombrus"
165612,"Scomberesox saurus",126392,"Scomberesox saurus"
172748,"Scophthalmus maximus",154473,"Psetta maxima"
172749,"Scophthalmus rhombus",127150,"Scophthalmus rhombus"
166840,"Scorpaena porcus",127247,"Scorpaena porcus"
166839,"Scorpaena scrofa",127248,"Scorpaena scrofa"
166836,"Scorpaena loppei",127244,"Scorpaena loppei"
166838,"Scorpaena notata",127246,"Scorpaena notata"
166704,"Scorpaenidae",125595,"Scorpaenidae"
159985,"Scyliorhinidae",105693,"Scyliorhinidae"
160053,"Scyliorhinus",105729,"Scyliorhinus"
160065,"Scyliorhinus canicula",105814,"Scyliorhinus canicula"
160067,"Scyliorhinus stellaris",105815,"Scyliorhinus stellaris"
160755,"Scymnodon ringens",105918,"Scymnodon ringens"
166756,"Sebastes mentella",127254,"Sebastes mentella"
166705,"Sebastes",126175,"Sebastes"
166745,"Sebastes marinus",127253,"Sebastes marinus"
166779,"Sebastes viviparus",127255,"Sebastes viviparus"
82363,"Sepia officinalis",141444,"Sepia officinalis"
82361,"Sepia",138477,"Sepia"
82362,"Sepia elegans",141443,"Sepia elegans"
82359,"Sepietta oweniana",141452,"Sepietta oweniana"
82360,"Sepiidae",11723,"Sepiidae"
205713,"Sepiola steenstrupiana",141460,"Sepiola steenstrupiana"
82356,"Sepiola",138483,"Sepiola"
82357,"Sepiola atlantica",141454,"Sepiola atlantica"
555708,"Sepiolida",157033,"Sepiolida"
167674,"Serranidae",125561,"Serranidae"
167865,"Serranus cabrilla",127041,"Serranus cabrilla"
167863,"Serranus hepatus",127042,"Serranus hepatus"
167862,"Serranus scriba",127043,"Serranus scriba"
157062,"Solasteridae",123143,"Solasteridae"
173014,"Solea impar",236490,"Pegusa impar"
173016,"Solea senegalensis",127159,"Solea senegalensis"
173002,"Solea solea",127160,"Solea solea"
173000,"Solea",126132,"Solea"
173001,"Solea vulgaris",127160,"Solea solea"
172980,"Soleidae",125581,"Soleidae"
160611,"Somniosus microcephalus",105919,"Somniosus microcephalus"
169180,"Sparidae",125564,"Sparidae"
169226,"Sparus auratus",151523,"Sparus aurata"
166401,"Spinachia spinachia",126508,"Spinachia spinachia"
169229,"Spondyliosoma cantharus",127066,"Spondyliosoma cantharus"
161789,"Sprattus sprattus",126425,"Sprattus sprattus"
160604,"Squalidae",105716,"Squalidae"
160617,"Squalus acanthias",105923,"Squalus acanthias"
171554,"Stichaeidae",125566,"Stichaeidae"
168510,"Stizostedion lucioperca",151308,"Sander lucioperca"
162292,"Stomias boa",127374,"Stomias boa"
162289,"Stomias boa ferrox",158737,"Stomias boa ferox "
614239,"Symphodus melops",273571,"Symphodus melops "
614244,"Symphodus bailloni",273566,"Symphodus bailloni "
635794,"Synaphobranchus kaupii",126328,"Synaphobranchus kaupii"
161582,"Synaphobranchus kaupi",126328,"Synaphobranchus kaupii"
166443,"Syngnathidae",125606,"Syngnathidae"
166438,"Syngnathoidei",125606,"Syngnathidae"
166463,"Syngnathus rostellatus",127389,"Syngnathus rostellatus"
166464,"Syngnathus acus",127387,"Syngnathus acus"
166467,"Syngnathus typhle",127393,"Syngnathus typhle"
166444,"Syngnathus",126227,"Syngnathus"
167390,"Taurulus bubalis",127204,"Taurulus bubalis"
167391,"Taurulus lilljeborgi",127201,"Micrenophrys lilljeborgii"
82367,"Teuthida",11716,"Teuthida"
172043,"Thorogobius ephippiatus",126937,"Thorogobius ephippiatus"
172421,"Thunnus thynnus",127029,"Thunnus thynnus"
205726,"Todarodes sagittatus",140624,"Todarodes sagittatus"
205728,"Todaropsis eblanae",140625,"Todaropsis eblanae"
160838,"Torpedo marmorata",105930,"Torpedo (Torpedo) marmorata"
160836,"Torpedo torpedo",271691,"Torpedo torpedo "
160834,"Torpedo nobiliana",105929,"Torpedo (Tetronarce) nobiliana"
170991,"Trachinus vipera",150630,"Echiichthys vipera"
170992,"Trachinus draco",127082,"Trachinus draco"
166342,"Trachipterus arcticus",126527,"Trachipterus arcticus"
168588,"Trachurus trachurus",126822,"Trachurus trachurus"
168585,"Trachurus",125946,"Trachurus"
168590,"Trachurus mediterraneus",126820,"Trachurus mediterraneus"
168593,"Trachurus picturatus",126821,"Trachurus picturatus"
165419,"Trachyrincus murrayi",126481,"Trachyrincus murrayi"
550660,"Trachyrincus scabrus",126482,"Trachyrincus scabrus"
166859,"Trachyscorpia cristulata",127256,"Trachyscorpia cristulata"
167041,"Trigla lyra",127266,"Trigla lyra"
167039,"Trigla lucerna",127262,"Chelidonichthys lucerna"
166972,"Triglidae",125598,"Triglidae"
167046,"Trigloporus lastoviza",154462,"Trigloporus lastoviza"
167375,"Triglops murrayi",127205,"Triglops murrayi"
167373,"Triglops pingeli",127207,"Triglops pingelii"
167368,"Triglops",126154,"Triglops"
164754,"Trisopterus minutus",126446,"Trisopterus minutus"
164755,"Trisopterus luscus",126445,"Trisopterus luscus"
164756,"Trisopterus esmarkii",126444,"Trisopterus esmarkii"
169306,"Umbrina canariensis",127011,"Umbrina canariensis"
162340,"Xenodermichthys copei",126714,"Xenodermichthys copei"
172482,"Xiphias gladius",127094,"Xiphias gladius"
166271,"Zeiformes",10919,"Zeiformes"
166284,"Zenopsis conchifera",127426,"Zenopsis conchifer"
166283,"Zenopsis ocellata",127426,"Zenopsis conchifer"
616605,"Zeugopterus regius",236488,"Zeugopterus regius"
172828,"Zeugopterus",126125,"Zeugopterus"
172829,"Zeugopterus punctatus",127151,"Zeugopterus punctatus"
616613,"Zeugopterus norvegicus",127147,"Phrynorhombus norvegicus"
166287,"Zeus faber",127427,"Zeus faber"
165324,"Zoarces viviparus",127123,"Zoarces viviparus"
165215,"Zoarcidae",125575,"Zoarcidae"
